Drug	Fold	Total size	Resistant size	Susceptible size
BIC	Total	165	6	159
BIC	1	33	1	32
BIC	2	33	0	33
BIC	3	33	1	32
BIC	4	34	2	32
BIC	5	32	2	30
DTG	Total	290	33	257
DTG	1	55	4	51
DTG	2	60	7	53
DTG	3	57	7	50
DTG	4	57	6	51
DTG	5	61	9	52
EVG	Total	635	247	388
EVG	1	124	46	78
EVG	2	128	49	79
EVG	3	128	48	80
EVG	4	130	59	71
EVG	5	125	45	80
RAL	Total	683	236	447
RAL	1	138	51	87
RAL	2	136	45	91
RAL	3	139	52	87
RAL	4	133	42	91
RAL	5	137	46	91
EFV	Total	1829	807	1022
EFV	1	363	160	203
EFV	2	362	155	207
EFV	3	360	161	199
EFV	4	367	170	197
EFV	5	377	161	216
ETR	Total	861	224	637
ETR	1	174	49	125
ETR	2	176	47	129
ETR	3	173	39	134
ETR	4	169	48	121
ETR	5	169	41	128
NVP	Total	1828	928	900
NVP	1	364	185	179
NVP	2	364	188	176
NVP	3	366	186	180
NVP	4	370	178	192
NVP	5	364	191	173
RPV	Total	180	66	114
RPV	1	38	14	24
RPV	2	37	12	25
RPV	3	33	16	17
RPV	4	37	13	24
RPV	5	35	11	24
3TC	Total	1577	964	613
3TC	1	319	187	132
3TC	2	318	195	123
3TC	3	304	187	117
3TC	4	319	200	119
3TC	5	317	195	122
ABC	Total	1600	1011	589
ABC	1	314	193	121
ABC	2	319	195	124
ABC	3	332	221	111
ABC	4	314	207	107
ABC	5	321	195	126
AZT	Total	1590	707	883
AZT	1	322	149	173
AZT	2	314	145	169
AZT	3	312	120	192
AZT	4	323	141	182
AZT	5	319	152	167
D4T	Total	1597	716	881
D4T	1	316	135	181
D4T	2	318	156	162
D4T	3	323	144	179
D4T	4	321	139	182
D4T	5	319	142	177
DDI	Total	1597	834	763
DDI	1	319	159	160
DDI	2	314	161	153
DDI	3	321	162	159
DDI	4	322	187	135
DDI	5	321	165	156
TDF	Total	1341	408	933
TDF	1	266	85	181
TDF	2	266	79	187
TDF	3	270	76	194
TDF	4	267	95	172
TDF	5	272	73	199
ATV	Total	1356	667	689
ATV	1	271	130	141
ATV	2	274	145	129
ATV	3	273	149	124
ATV	4	272	135	137
ATV	5	266	108	158
DRV	Total	975	187	788
DRV	1	193	30	163
DRV	2	195	42	153
DRV	3	195	32	163
DRV	4	198	39	159
DRV	5	194	44	150
FPV	Total	1809	752	1057
FPV	1	364	146	218
FPV	2	361	141	220
FPV	3	359	152	207
FPV	4	361	156	205
FPV	5	364	157	207
IDV	Total	1856	906	950
IDV	1	370	189	181
IDV	2	372	190	182
IDV	3	370	154	216
IDV	4	372	189	183
IDV	5	372	184	188
LPV	Total	1636	667	969
LPV	1	323	129	194
LPV	2	326	127	199
LPV	3	331	140	191
LPV	4	328	139	189
LPV	5	328	132	196
NFV	Total	1897	1063	834
NFV	1	383	215	168
NFV	2	375	199	176
NFV	3	380	212	168
NFV	4	381	208	173
NFV	5	378	229	149
SQV	Total	1853	770	1083
SQV	1	366	142	224
SQV	2	369	160	209
SQV	3	370	154	216
SQV	4	370	156	214
SQV	5	378	158	220
TPV	Total	1062	333	729
TPV	1	212	75	137
TPV	2	212	63	149
TPV	3	216	74	142
TPV	4	209	59	150
TPV	5	213	62	151
